StoreID	Address	City	ZipCode	County
5979	602 Lincolnway St	Woodbine	51579	HARRISON
5981	3750 111th St	Urbandale	50322	POLK
5982	407 8th St SW	Altoona	50009	POLK
5983	516 Rossville Rd	Waukon	52172	ALLAMAKEE
5984	413 A Ave W	Oskaloosa	52577	MAHASKA
5985	1902 S Market St	Oskaloosa	52577	MAHASKA
5986	1809 9th Ave E	Oskaloosa	52577	MAHASKA
5987	625 W. Zeller St	North Liberty	52317	JOHNSON
5988	312 West St	Grinnell	50112	POWESHIEK
5989	1718 6th Ave	Grinnell	50112	POWESHIEK
5990	203 S. Lincoln St	Knoxville	50138	MARION
5991	1007 N. Lincoln	Knoxville	50138	MARION
5993	100 E Jackson St	Sigourney	52591	KEOKUK
5994	108 E. College St	Iowa City	52240	JOHNSON
5995	2635 Adventureland Dr	Altoona	50009	POLK
5996	1332 N 9th St	Estherville	51334	EMMET
5997	1901 W Burlington Ave	Fairfield	52556	JEFFERSON
5998	1300 Nicolaus Dr	Wilton	52778	IOWA
6000	1512 Lincoln Way	Clinton	52732	CLINTON
6001	201 Hwy 21	Dysart	52224	TAMA
6002	104 Buckley St	Sloan	51055	WOODBURY
6004	201 E Access Rd	Columbus Junction	52738	BLACK HAWK
6005	5908 Nordic Dr	Cedar Falls	50613	BLACK HAWK
6006	10010 NW 62nd Ave	Johnston	50131	POLK
6007	6110 Merle Hay Rd	Johnston	50131	POLK
6008	113 E Washington St	Iowa City	52240	JOHNSON
6013	107 N Mill St	Lake Mills	50450	WINNEBAGO
6018	1807 Edgington Ave	Eldora	50627	HARDIN
6019	1024 E 1st St	Ankeny	50021	POLK
6020	403 W 2nd Ave	Indianola	50125	WARREN
6021	220 N Washington St	Corydon	50060	WAYNE
6022	305 Crisman St	Dysart	52224	TAMA
6023	1400 Valley West Dr	West Des Moines	50266	POLK
6026	3345 Main St	Keokuk	52632	LEE
6027	500 S Merino Ave	Eddyville	52553	Wapello
6028	3327 5th Ave S.	Fort Dodge	50501	WEBSTER
6033	101 5th Ave SW	Le Mars	51031	PLYMOUTH
6034	417 Broad St.	Whittemore	50598	KOSSUTH
6035	412 First Ave	Coralville	52241	JOHNSON
6036	710 S Frederick Ave	Oelwein	50662	FAYETTE
6037	702 1st St	Murray	50174	CLARKE
6038	1604 La Porte Rd	Waterloo	50702	BLACK HAWK
6040	420 Second St	Traer	50675	IOWA
6041	315 S Gilbert St	Iowa City	52240	JOHNSON
6042	300 Main St	Minden	51553	POTTAWATTA
6043	351 6th St	Manning	51455	CARROLL
6045	15590 Hickman Rd	Clive	50325	POLK
6047	100 E Madison St	Washington	52353	WASHINGTON
6048	1531 Ave H	Fort Madison	52627	LEE
6054	595 Country Lane  STE 1	North Liberty	52317	JOHNSON
6057	3104 University Ave	Des Moines	50311	POLK
6058	1525 W Ridgeway Ave	Cedar Falls	50613	BLACK HAWK
6059	1801 Washington Ave	Iowa Falls	50126	HARDIN
6060	114 S 2nd St	Cherokee	51012	CHEROKEE
6061	122 E Front St	Brooklyn	52211	POWESHIEK
6062	101 W Madison	Edgewood	52042	IOWA
6063	1125 N Hickory Blvd	Pleasant Hill	50327	POLK
6064	2106 Echo Valley Dr	Des Moines	50321	POLK
6065	1610 Rockingham Rd	Davenport	52802	SCOTT
6066	2211 College St	Cedar Falls	50613	BLACK HAWK
6067	2111 Park Ave	Muscatine	52761	MUSCATINE
6068	115 N 22nd St	Fort Dodge	50501	WEBSTER
6069	405 Rhomberg	Dubuque	52001	DUBUQUE
6070	3300 Asbury Rd	Dubuque	52001	DUBUQUE
6071	721 Central Ave W	Hampton	50441	FRANKLIN
6072	200 Green St	Muscatine	52761	MUSCATINE
6073	2846 Mount Vernon Rd SE	Cedar Rapids	52405	LINN
6074	317 Main St	Colesburg	52035	DELAWARE
6075	4 4th St SE	Hampton	50441	FRANKLIN
6076	404 S 11th Ave W	Newton	50208	JASPER
6077	2125 College St STE D1	Cedar Falls	50613	BLACK HAWK
6078	3015 Oxbow Court SW	Bondurant	50035	POLK
6080	202 S Main St	New Sharon	50207	MAHASKA
6081	3501 EP True Parkway	West Des Moines	50265	POLK
6083	3505 Lincoln Way STE 105	Ames	50014	STORY
6084	315 Story St	Boone	50336	BOONE
6086	2320 Lincoln Way STE 103	Ames	50014	STORY
6088	1923 5th Ave S	Fort Dodge	50501	WEBSTER
6089	1115 Hwy 141	Perry	50220	Dallas
6090	1219 1st Ave	Perry	50220	Dallas
6091	601 Hollywood Blvd STE 1	Iowa City	52240	JOHNSON
9001	1441 Marak Rd NW	Swisher	52338	JOHNSON
9002	303 N Cody Rd	Leclaire	52753	SCOTT
9013	4349 Cumming Ave.	Cumming	50061	WARREN
9037	3345 270th Ave	Keokuk	52632	LEE
9039	111 South 11th St. Ste 100	West Des Moines	50265	POLK
9041	212 E Ramsey St.	Bancroft	50517	KOSSUTH
9042	PO Box 1317	Spencer	51301	CLAY
9046	3294 170th St	Rock Rapids	51246	LYON
9047	1400 W Clay St	Osceola	50213	CLARKE
